symbol,industry,sector
ICE,Financial Data & Stock Exchanges,Financial Services
IFF,Specialty Chemicals,Basic Materials
IP,Packaging & Containers,Consumer Cyclical
IPG,Advertising Agencies,Communication Services
INTU,Software—Application,Technology
ISRG,Medical Instruments & Supplies,Healthcare
IVZ,Asset Management,Financial Services
INVH,REIT—Residential,Real Estate
IQV,Diagnostics & Research,Healthcare
IRM,REIT—Specialty,Real Estate
JBHT,Integrated Freight & Logistics,Industrials
JKHY,Information Technology Services,Technology
J,Engineering & Construction,Industrials
JNJ,Drug Manufacturers—General,Healthcare
JCI,Building Products & Equipment,Industrials
JPM,Banks—Diversified,Financial Services
JNPR,Communication Equipment,Technology
K,Packaged Foods,Consumer Defensive
KDP,Beverages—Non-Alcoholic,Consumer Defensive
KEY,Banks—Regional,Financial Services
KEYS,Scientific & Technical Instruments,Technology
KMB,Household & Personal Products,Consumer Defensive
KIM,REIT—Retail,Real Estate
KMI,Oil & Gas Midstream,Energy
KLAC,Semiconductor Equipment & Materials,Technology
KHC,Packaged Foods,Consumer Defensive
KR,Grocery Stores,Consumer Defensive
LHX,Aerospace & Defense,Industrials
LH,Diagnostics & Research,Healthcare
LRCX,Semiconductor Equipment & Materials,Technology
LW,Packaged Foods,Consumer Defensive
LVS,Resorts & Casinos,Consumer Cyclical
LDOS,Information Technology Services,Technology
LEN,Residential Construction,Consumer Cyclical
LNC,Insurance—Life,Financial Services
LIN,Specialty Chemicals,Basic Materials
LYV,Entertainment,Communication Services
LKQ,Auto Parts,Consumer Cyclical
LMT,Aerospace & Defense,Industrials
L,Insurance—Property & Casualty,Financial Services
LOW,Home Improvement Retail,Consumer Cyclical
LYB,Specialty Chemicals,Basic Materials
MTB,Banks—Regional,Financial Services
MRO,Oil & Gas E&P,Energy
MPC,Oil & Gas Refining & Marketing,Energy
MKTX,Capital Markets,Financial Services
MAR,Lodging,Consumer Cyclical
MMC,Insurance Brokers,Financial Services
MLM,Building Materials,Basic Materials
MAS,Building Products & Equipment,Industrials
MA,Credit Services,Financial Services
MTCH,Internet Content & Information,Communication Services
MKC,Packaged Foods,Consumer Defensive
MCD,Restaurants,Consumer Cyclical
MCK,Medical Distribution,Healthcare
MDT,Medical Devices,Healthcare
MRK,Drug Manufacturers—General,Healthcare
META,Internet Content & Information,Communication Services
MET,Insurance—Life,Financial Services
MTD,Diagnostics & Research,Healthcare
MGM,Resorts & Casinos,Consumer Cyclical
MCHP,Semiconductors,Technology
MU,Semiconductors,Technology
MSFT,Software—Infrastructure,Technology
MAA,REIT—Residential,Real Estate
MRNA,Biotechnology,Healthcare
MHK,"Furnishings, Fixtures & Appliances",Consumer Cyclical
MOH,Healthcare Plans,Healthcare
TAP,Beverages—Brewers,Consumer Defensive
MDLZ,Confectioners,Consumer Defensive
MPWR,Semiconductors,Technology
MNST,Beverages—Non-Alcoholic,Consumer Defensive
MCO,Financial Data & Stock Exchanges,Financial Services
MS,Capital Markets,Financial Services
MOS,Agricultural Inputs,Basic Materials
MSI,Communication Equipment,Technology
MSCI,Financial Data & Stock Exchanges,Financial Services
NDAQ,Financial Data & Stock Exchanges,Financial Services
NTAP,Computer Hardware,Technology
NFLX,Entertainment,Communication Services
NWL,Household & Personal Products,Consumer Defensive
NEM,Gold,Basic Materials
NWSA,Entertainment,Communication Services
NWS,Entertainment,Communication Services
NEE,Utilities—Regulated Electric,Utilities
NKE,Footwear & Accessories,Consumer Cyclical
NI,Utilities—Regulated Gas,Utilities
NDSN,Specialty Industrial Machinery,Industrials
NSC,Railroads,Industrials
NTRS,Asset Management,Financial Services
NOC,Aerospace & Defense,Industrials
NCLH,Travel Services,Consumer Cyclical
NRG,Utilities—Independent Power Producers,Utilities
NUE,Steel,Basic Materials
NVDA,Semiconductors,Technology
NVR,Residential Construction,Consumer Cyclical
NXPI,Semiconductors,Technology
ORLY,Specialty Retail,Consumer Cyclical
OXY,Oil & Gas E&P,Energy
ODFL,Trucking,Industrials
OMC,Advertising Agencies,Communication Services
ON,Semiconductors,Technology
OKE,Oil & Gas Midstream,Energy
ORCL,Software—Infrastructure,Technology
OGN,Drug Manufacturers—General,Healthcare
OTIS,Specialty Industrial Machinery,Industrials
PCAR,Farm & Heavy Construction Machinery,Industrials
PKG,Packaging & Containers,Consumer Cyclical
PARA,Entertainment,Communication Services
PH,Specialty Industrial Machinery,Industrials
PAYX,Staffing & Employment Services,Industrials
PAYC,Software—Application,Technology
PYPL,Credit Services,Financial Services
PNR,Specialty Industrial Machinery,Industrials
PEP,Beverages—Non-Alcoholic,Consumer Defensive
PKI,Diagnostics & Research,Healthcare
PFE,Drug Manufacturers—General,Healthcare
PCG,Utilities—Regulated Electric,Utilities
PM,Tobacco,Consumer Defensive
PSX,Oil & Gas Refining & Marketing,Energy
PNW,Utilities—Regulated Electric,Utilities
PXD,Oil & Gas E&P,Energy
PNC,Banks—Regional,Financial Services
POOL,Industrial Distribution,Industrials
PPG,Specialty Chemicals,Basic Materials
PPL,Utilities—Regulated Electric,Utilities
PFG,Asset Management,Financial Services
PG,Household & Personal Products,Consumer Defensive
PGR,Insurance—Property & Casualty,Financial Services
PLD,REIT—Industrial,Real Estate
PRU,Insurance—Life,Financial Services
PEG,Utilities—Regulated Electric,Utilities
PTC,Software—Application,Technology
PSA,REIT—Industrial,Real Estate
PHM,Residential Construction,Consumer Cyclical
QRVO,Semiconductors,Technology
PWR,Engineering & Construction,Industrials
QCOM,Semiconductors,Technology
DGX,Diagnostics & Research,Healthcare
RL,Apparel Manufacturing,Consumer Cyclical
RJF,Capital Markets,Financial Services
RTX,Aerospace & Defense,Industrials
O,REIT—Retail,Real Estate
REG,REIT—Retail,Real Estate
REGN,Biotechnology,Healthcare
RF,Banks—Regional,Financial Services
RSG,Waste Management,Industrials
RMD,Medical Instruments & Supplies,Healthcare
RHI,Staffing & Employment Services,Industrials
ROK,Specialty Industrial Machinery,Industrials
ROL,Personal Services,Consumer Cyclical
ROP,Software—Application,Technology
ROST,Apparel Retail,Consumer Cyclical
RCL,Travel Services,Consumer Cyclical
SPGI,Financial Data & Stock Exchanges,Financial Services
CRM,Software—Application,Technology
SBAC,REIT—Specialty,Real Estate
SLB,Oil & Gas Equipment & Services,Energy
STX,Computer Hardware,Technology
SEE,Packaging & Containers,Consumer Cyclical
SRE,Utilities—Diversified,Utilities
NOW,Software—Application,Technology
SHW,Specialty Chemicals,Basic Materials
SPG,REIT—Retail,Real Estate
SWKS,Semiconductors,Technology
SJM,Packaged Foods,Consumer Defensive
SNA,Tools & Accessories,Industrials
SEDG,Solar,Technology
SO,Utilities—Regulated Electric,Utilities
LUV,Airlines,Industrials
SWK,Tools & Accessories,Industrials
SBUX,Restaurants,Consumer Cyclical
STT,Asset Management,Financial Services
STLD,Steel,Basic Materials
STE,Medical Devices,Healthcare
SYK,Medical Devices,Healthcare
SYF,Credit Services,Financial Services
SNPS,Software—Infrastructure,Technology
SYY,Food Distribution,Consumer Defensive
TMUS,Telecom Services,Communication Services
TROW,Asset Management,Financial Services
TTWO,Electronic Gaming & Multimedia,Communication Services
TPR,Luxury Goods,Consumer Cyclical
TRGP,Oil & Gas Midstream,Energy
TGT,Discount Stores,Consumer Defensive
TEL,Electronic Components,Technology
TDY,Scientific & Technical Instruments,Technology
TFX,Medical Instruments & Supplies,Healthcare
TER,Semiconductor Equipment & Materials,Technology
TSLA,Auto Manufacturers,Consumer Cyclical
TXN,Semiconductors,Technology
TXT,Aerospace & Defense,Industrials
TMO,Diagnostics & Research,Healthcare
TJX,Apparel Retail,Consumer Cyclical
TSCO,Specialty Retail,Consumer Cyclical
TT,Building Products & Equipment,Industrials
TDG,Aerospace & Defense,Industrials
TRV,Insurance—Property & Casualty,Financial Services
TRMB,Scientific & Technical Instruments,Technology
TFC,Banks—Regional,Financial Services
TYL,Software—Application,Technology
TSN,Farm Products,Consumer Defensive
USB,Banks—Regional,Financial Services
UDR,REIT—Residential,Real Estate
ULTA,Specialty Retail,Consumer Cyclical
UNP,Railroads,Industrials
UAL,Airlines,Industrials
UPS,Integrated Freight & Logistics,Industrials
URI,Rental & Leasing Services,Industrials
UNH,Healthcare Plans,Healthcare
UHS,Medical Care Facilities,Healthcare
VLO,Oil & Gas Refining & Marketing,Energy
VTR,REIT—Healthcare Facilities,Real Estate
VRSN,Software—Infrastructure,Technology
VRSK,Consulting Services,Industrials
VZ,Telecom Services,Communication Services
VRTX,Biotechnology,Healthcare
VFC,Apparel Manufacturing,Consumer Cyclical
VTRS,Drug Manufacturers—Specialty & Generic,Healthcare
VICI,REIT—Diversified,Real Estate
V,Credit Services,Financial Services
VMC,Building Materials,Basic Materials
WAB,Railroads,Industrials
WBA,Pharmaceutical Retailers,Healthcare
WMT,Discount Stores,Consumer Defensive
WBD,Entertainment,Communication Services
WM,Waste Management,Industrials
WAT,Diagnostics & Research,Healthcare
WEC,Utilities—Regulated Electric,Utilities
WFC,Banks—Diversified,Financial Services
WELL,REIT—Healthcare Facilities,Real Estate
WST,Medical Instruments & Supplies,Healthcare
WDC,Computer Hardware,Technology
WRK,Packaging & Containers,Consumer Cyclical
WY,REIT—Specialty,Real Estate
WHR,"Furnishings, Fixtures & Appliances",Consumer Cyclical
WMB,Oil & Gas Midstream,Energy
WTW,Insurance Brokers,Financial Services
GWW,Industrial Distribution,Industrials
WYNN,Resorts & Casinos,Consumer Cyclical
XEL,Utilities—Regulated Electric,Utilities
XYL,Specialty Industrial Machinery,Industrials
YUM,Restaurants,Consumer Cyclical
ZBRA,Communication Equipment,Technology
ZBH,Medical Devices,Healthcare
ZION,Banks—Regional,Financial Services
ZTS,Drug Manufacturers—Specialty & Generic,Healthcare
